Marca_temporal,Edad,Genero,Procedencia,Traslado_ UNAH,Computadora_ permanente,Conexi?n_ permanente,Calidad_ conexi?n,Estudio_ secundaria,Cantidad_ carreras,Rango_ acad?mico,Mejorar_ ?ndice,Exelencia_academica,Reprobaci?n,Rango_ promedio_ clases,Flexibilidad_ horarios,Horas_ libres,Estimaci?n_ horas_ libres,Lista_ espera,Mas_ cupos,Preferencia_ estudio,Horas_ diarias_ estudio,Disciplina,Autodidacta,Demora,EntorNo,Motivo_ estudio,Seguimiento,Deserci?n,Sobrepoblaci?n,Aumento _de _la poblaci?n,Sobrecarga_ laboral,Planificaci?n,Estrategias_ educativas,Recursos,Plataforma,Frecuencia_ de_ uso,Aumento_ de_ uso,Uso_ lms,lms_ utiliza,Estimaci?n_ lms,Cambio _LMS
2020/04/04 5:19:57 p.?m. GMT-6,23-27,Femenino,No,Normal,Si,No,,No,No,70-79,Mejor planificaci?n,No,Si,4 a 6 ,Si,Si,Pocas,Si,Si,Solo,3,Si,Si,Si,No,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Poco,Si,Moodle;Otras,Intermedio,Si
2020/04/04 7:39:30 p.?m. GMT-6,28-32,Masculino,No,Normal,Si,Si,Si,Si,No,90-100,Mejor planificaci?n,Si,No,4 a 6 ,Si,No,,No,Si,Grupo,5,Si,Si,No,Si,Te gusta la carrera,Si,No,No,No,Si,41% - 60%,41% - 60%,No,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si
2020/04/04 7:45:12 p.?m. GMT-6,23-27,Femenino,Si,Normal,Si,Si,Si,No,No,80-89,Mejor planificaci?n,Si,Si,4 a 6 ,Si,No,,Si,Si,Grupo,2,En ocasiones,No,Si,Si,Influencia de terceros,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si
2020/04/05 10:52:02 a.?m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,Si,No,No,80-89,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,4 a 6 ,Si,No,,Si,Si,Solo,2,En ocasiones,Si,Si,Si,Influencia de terceros,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle;Canvas LMS;Wordpress,Poco,Si
2020/04/06 10:19:48 a.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,80-89,Flexibilidad de horarios,Si,Si,4 a 6 ,Si,Si,Pocas,No,Si,Solo,1,Si,Si,Si,Si,Otros,Si,Si,Si,No,Si,41% - 60%,20% - 40%,Si,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si
2020/04/06 10:27:07 a.?m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,No,No,No,90-100,Flexibilidad de horarios;Otros,Si,No,4 a 6 ,No,No,,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,41% - 60%,41% - 60%,Si,Si,En ocasiones,Poco,Si,Moodle;Otras,Intermedio,Si
2020/04/06 10:39:36 a.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,70-79,Otros,No,Si,2 a 4,No,Si,Muchas,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,61% - 80%,41% - 60%,Si,Si,Muy frecuentemente,Poco,Si,Moodle;Otras,Poco,Si
2020/04/06 10:44:45 a.?m. GMT-5,28-32,Masculino,Si,Pocas,Si,Si,Si,No,No,90-100,Flexibilidad de horarios,Si,No,4 a 6 ,Si,No,,Si,Si,Solo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Intermedio,Si,Moodle;Wordpress,Intermedio,Si
2020/04/06 10:45:03 a.?m. GMT-5,23-27,Masculino,Si,Pocas,Si,Si,No,No,No,70-79,Mejor Planificaci?n,No,Si,4 a 6 ,No,Si,Muchas,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle;Wordpress,Intermedio,Si
2020/04/06 10:46:42 a.?m. GMT-5,23-27,Masculino,Si,Normal,Si,Si,Si,No,No,80-89,Flexibilidad de horarios,Si,No,4 a 6 ,No,Si,Muchas,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Nunca,Mucho,Si,Wordpress,Poco,Si
2020/04/06 10:46:57 a.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,80-89,Otros,Si,Si,4 a 6 ,Si,Si,Pocas,Si,Si,Solo,5,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Poco,No,Otras,Mucho,Si
2020/04/06 10:47:35 a.?m. GMT-5,18-22,Masculino,No,Normal,Si,Si,Si,Si,Si,90-100,Mejor Planificaci?n,Si,No,4 a 6 ,Si,Si,Pocas,No,Si,Grupo,1,Si,Si,Si,No,Te gusta la carrera,Si,No,Si,No,No,61% - 80%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle,Poco,Si
2020/04/06 10:47:52 a.?m. GMT-5,23-27,Femenino,No,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificaci?n;Otros,Si,No,4 a 6 ,No,Si,Pocas,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,41% - 60%,20% - 40%,Si,Si,En ocasiones,Intermedio,Si,Moodle,Intermedio,Si
2020/04/06 10:49:47 a.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,2 a 4,No,No,,Si,Si,Grupo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,No,61% - 80%,61% - 80%,Si,No,En ocasiones,Poco,Si,Moodle;Wordpress,Poco,Si
2020/04/06 10:49:57 a.?m. GMT-5,23-27,Masculino,Si,Normal,Si,Si,No,No,No,70-79,Flexibilidad de horarios,Si,Si,2 a 4,Si,Si,Intermedias,Si,Si,Solo,5,En ocasiones,Si,Si,Si,Influencia de terceros,Mas o meNos,Si,No,No,Si,0% - 20%,0% - 20%,Si,Si,En ocasiones,Poco,Si,Moodle;Wordpress;Otras,Intermedio,Si
2020/04/06 10:50:25 a.?m. GMT-5,28-32,Masculino,No,Muchas,Si,Si,No,Si,No,70-79,Mejor Planificaci?n;Flexibilidad de horarios,No,Si,2 a 4,Si,No,,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle;Wordpress,Intermedio,Si
2020/04/06 10:52:34 a.?m. GMT-5,28-32,Masculino,Si,Pocas,Si,Si,No,No,No,70-79,Mejor Planificaci?n,Si,Si,4 a 6 ,Si,Si,Pocas,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Mucho,No,Moodle;Otras,Intermedio,Si
2020/04/06 10:55:10 a.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,70-79,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,2 a 4,Si,No,,Si,Si,Solo,4,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,No,41% - 60%,41% - 60%,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle;Otras,Intermedio,Si
2020/04/06 10:58:06 a.?m. GMT-5,28-32,Masculino,Si,Normal,Si,Si,Si,No,No,80-89,Mejor Planificaci?n,Si,No,4 a 6 ,Si,No,,No,Si,Solo,5,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,20% - 40%,Si,Si,Nunca,Poco,Si,Moodle;Otras,Poco,Si
2020/04/06 11:02:08 a.?m. GMT-5,23-27,Masculino,Si,Pocas,Si,Si,Si,No,No,80-89,Mejor Planificaci?n,Si,No,4 a 6 ,Si,Si,Pocas,No,Si,Grupo,1,En ocasiones,Si,Si,Si,Influencia de terceros,Si,Si,Si,No,No,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,No,Otras,Poco,Si
2020/04/06 11:03:17 a.?m. GMT-5,18-22,Masculino,Si,Muchas,No,No,,Si,No,80-89,Flexibilidad de horarios,Si,Si,2 a 4,No,No,,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,0% - 20%,20% - 40%,Si,Si,En ocasiones,Mucho,No,,,Si
2020/04/06 11:06:35 a.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificaci?n;Flexibilidad de horarios;Otros,Si,No,2 a 4,No,Si,Muchas,No,Si,Solo,2,En ocasiones,Si,Si,Si,Influencia de terceros,Mas o meNos,No,Si,Si,Si,0% - 20%,0% - 20%,Si,Si,En ocasiones,Mucho,Si,Moodle;Wordpress;Otras,Intermedio,Si
2020/04/06 11:06:38 a.?m. GMT-5,23-27,Masculino,Si,Muchas,Si,Si,Si,No,No,70-79,Flexibilidad de horarios,Si,Si,2 a 4,No,Si,Intermedias,Si,Si,Solo,5,Si,Si,Si,Si,Te gusta la carrera,Si,Si,No,Si,Si,61% - 80%,20% - 40%,Si,Si,En ocasiones,Intermedio,Si,Otras,Intermedio,Si
2020/04/06 11:08:59 a.?m. GMT-5,18-22,Femenino,No,Muchas,Si,Si,No,No,No,80-89,Mejor Planificaci?n,Si,Si,4 a 6 ,No,Si,Intermedias,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,61% - 80%,Si,Si,En ocasiones,Intermedio,Si,Moodle,Intermedio,Si
2020/04/06 11:10:34 a.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,80-89,Mejor Planificaci?n,Si,Si,4 a 6 ,Si,No,,Si,Si,Solo,2,Si,Si,Si,Si,Influencia de terceros,Si,No,Si,No,No,21% - 40%,20% - 40%,Si,Si,En ocasiones,Poco,Si,Moodle;Canvas LMS;Wordpress,Intermedio,Si
2020/04/06 11:15:10 a.?m. GMT-5,23-27,Femenino,No,Muchas,Si,No,,Si,No,80-89,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,4 a 6 ,No,Si,Pocas,Si,Si,Solo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Mas o meNos,Si,Si,No,Si,0% - 20%,0% - 20%,Si,Si,En ocasiones,Mucho,Si,Moodle;Wordpress,Intermedio,Si
2020/04/06 11:16:38 a.?m. GMT-5,18-22,Masculino,No,Pocas,Si,Si,No,No,No,80-89,Mejor Planificaci?n,Si,Si,4 a 6 ,No,Si,Muchas,No,Si,Grupo,2,Si,Si,Si,Si,Otros,No,Si,Si,No,Si,0% - 20%,0% - 20%,Si,Si,En ocasiones,Intermedio,Si,Moodle,Poco,No
2020/04/06 11:23:58 a.?m. GMT-5,18-22,Femenino,Si,Pocas,Si,Si,Si,No,No,80-89,Mejor Planificaci?n;Otros,Si,No,4 a 6 ,No,No,,No,Si,Solo,3,En ocasiones,Si,No,Si,Te gusta la carrera,Si,Si,No,Si,Si,41% - 60%,20% - 40%,Si,Si,En ocasiones,Poco,Si,Otras,Intermedio,Si
2020/04/06 11:30:48 a.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificaci?n,Si,Si,2 a 4,Si,No,,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,No,No,Si,21% - 40%,20% - 40%,Si,Si,Muy frecuentemente,Poco,Si,Moodle;Wordpress;Otras,Intermedio,Si
2020/04/06 11:30:54 a.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificaci?n,Si,Si,2 a 4,Si,No,,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,No,No,Si,21% - 40%,20% - 40%,Si,Si,Muy frecuentemente,Poco,Si,Moodle;Wordpress;Otras,Intermedio,Si
2020/04/06 11:32:01 a.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,Si,Si,2 a 4,Si,No,,No,Si,Solo,5,En ocasiones,Si,Si,No,Te gusta la carrera,Mas o meNos,Si,No,No,Si,41% - 60%,0% - 20%,No,Si,Muy frecuentemente,Mucho,Si,Otras,Intermedio,Si
2020/04/06 11:35:27 a.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,Si,Si,2 a 4,Si,No,,No,Si,Solo,5,En ocasiones,Si,Si,No,Te gusta la carrera,Mas o meNos,Si,No,No,Si,21% - 40%,0% - 20%,Si,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si
2020/04/06 11:41:02 a.?m. GMT-5,23-27,Femenino,No,Pocas,Si,No,,No,No,70-79,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,2 a 4,Si,No,,Si,Si,Grupo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Mas o meNos,Si,Si,No,Si,0% - 20%,0% - 20%,Si,Si,En ocasiones,Poco,Si,Moodle;Wordpress;Otras,Poco,Si
2020/04/06 11:41:02 a.?m. GMT-5,23-27,Masculino,No,Muchas,Si,Si,No,No,No,70-79,Flexibilidad de horarios;Otros,Si,No,4 a 6 ,Si,Si,Muchas,Si,Si,Solo,3,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle,Intermedio,Si
2020/04/06 11:41:10 a.?m. GMT-5,23-27,Femenino,No,Pocas,Si,No,,No,No,70-79,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,2 a 4,Si,No,,Si,Si,Grupo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Mas o meNos,Si,Si,No,Si,0% - 20%,0% - 20%,Si,Si,En ocasiones,Poco,Si,Moodle;Wordpress;Otras,Poco,Si
2020/04/06 11:44:34 a.?m. GMT-5,28-32,Masculino,Si,Normal,No,No,,Si,No,80-89,Flexibilidad de horarios,Si,Si,2 a 4,No,Si,Intermedias,Si,Si,Solo,4,Si,Si,No,Si,Te gusta la carrera,Mas o meNos,No,No,No,No,21% - 40%,0% - 20%,Si,Si,Muy frecuentemente,Mucho,Si,Moodle,Mucho,Si
2020/04/06 11:45:40 a.?m. GMT-5,23-27,Masculino,Si,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificaci?n,Si,Si,4 a 6 ,Si,No,,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,No,21% - 40%,20% - 40%,Si,Si,En ocasiones,Intermedio,Si,Moodle,Intermedio,Si
2020/04/06 11:46:56 a.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,No,<70,Mejor Planificaci?n;Flexibilidad de horarios,No,Si,2 a 4,Si,Si,Muchas,Si,Si,Grupo,4,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,41% - 60%,20% - 40%,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle;Canvas LMS;Wordpress,Intermedio,Si
2020/04/06 11:52:27 a.?m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,4 a 6 ,No,Si,Intermedias,Si,Si,Solo,5,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,20% - 40%,Si,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si
2020/04/06 11:55:18 a.?m. GMT-5,23-27,Masculino,Si,Muchas,Si,Si,Si,Si,No,<70,Mejor Planificaci?n,Si,Si,4 a 6 ,No,No,,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Muy frecuentemente,Poco,Si,Moodle,Intermedio,Si
2020/04/06 11:56:02 a.?m. GMT-5,23-27,Femenino,No,Normal,No,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,4 a 6 ,No,Si,Intermedias,Si,Si,Grupo,4,Si,Si,Si,Si,Otros,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle,Poco,Si
2020/04/06 12:07:06 p.?m. GMT-5,18-22,Masculino,No,Pocas,Si,Si,No,No,No,90-100,Mejor Planificaci?n;Flexibilidad de horarios,Si,No,4 a 6 ,Si,Si,Pocas,Si,Si,Grupo,1,Si,Si,Si,No,Te gusta la carrera,Si,No,Si,No,No,61% - 80%,41% - 60%,No,Si,En ocasiones,Poco,Si,Moodle,Intermedio,Si
2020/04/06 12:22:35 p.?m. GMT-5,18-22,Femenino,No,Normal,Si,Si,No,No,No,80-89,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,4 a 6 ,Si,Si,Intermedias,Si,Si,Solo,8,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,0% - 20%,0% - 20%,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si
2020/04/06 12:22:41 p.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,No,Si,No,90-100,Mejor Planificaci?n;Otros,Si,No,4 a 6 ,Si,No,,No,Si,Grupo,4,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,21% - 40%,20% - 40%,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle;Wordpress,Mucho,Si
2020/04/06 12:25:04 p.?m. GMT-5,18-22,Femenino,No,Normal,Si,Si,No,Si,No,70-79,Otros,No,Si,2 a 4,Si,Si,Intermedias,Si,Si,Solo,3,Si,No,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Mucho,Si,Otras,Poco,No
2020/04/06 12:35:21 p.?m. GMT-5,18-22,Masculino,No,Normal,Si,Si,No,Si,No,<70,Flexibilidad de horarios,No,Si,2 a 4,No,Si,Intermedias,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,No,No,Si,41% - 60%,41% - 60%,Si,Si,Muy frecuentemente,Mucho,Si,Canvas LMS,Poco,Si
2020/04/06 12:35:28 p.?m. GMT-5,18-22,Masculino,No,Normal,Si,Si,No,Si,No,<70,Flexibilidad de horarios,No,Si,2 a 4,No,Si,Intermedias,Si,Si,Grupo,2,Si,Si,Si,Si,Te gusta la carrera,Si,Si,No,No,Si,41% - 60%,41% - 60%,Si,Si,Muy frecuentemente,Mucho,Si,Canvas LMS,Poco,Si
2020/04/06 12:38:12 p.?m. GMT-5,28-32,Masculino,No,Muchas,Si,Si,Si,No,No,70-79,Otros,No,Si,2 a 4,No,No,,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si
2020/04/06 12:40:48 p.?m. GMT-5,18-22,Femenino,No,Pocas,Si,Si,No,No,No,80-89,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,4 a 6 ,No,Si,Pocas,No,Si,Solo,2,En ocasiones,Si,Si,Si,Test vocacional,Si,No,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Intermedio,Si,Wordpress,Poco,Si
2020/04/06 12:56:40 p.?m. GMT-5,23-27,Femenino,No,Normal,Si,No,,Si,No,70-79,Mejor Planificaci?n;Flexibilidad de horarios,No,No,2 a 4,No,Si,Muchas,Si,Si,Grupo,3,Si,Si,Si,Si,Influencia de terceros,No,Si,Si,No,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Mucho,Si,Canvas LMS;Wordpress,Intermedio,Si
2020/04/06 12:57:15 p.?m. GMT-5,23-27,Masculino,Si,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,4 a 6 ,Si,Si,Pocas,Si,Si,Solo,3,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,41% - 60%,41% - 60%,Si,Si,Muy frecuentemente,Intermedio,Si,Moodle;Canvas LMS;Otras,Intermedio,Si
2020/04/06 12:58:43 p.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,Si,80-89,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,4 a 6 ,No,Si,Intermedias,Si,Si,Grupo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,No,No,Si,21% - 40%,20% - 40%,Si,Si,Muy frecuentemente,Poco,Si,Moodle;Otras,Poco,Si
2020/04/06 1:14:09 p.?m. GMT-5,28-32,Masculino,Si,Muchas,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,No,Si,2 a 4,No,Si,Muchas,Si,Si,Grupo,3,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,61% - 80%,Si,Si,En ocasiones,Mucho,Si,Moodle,Poco,Si
2020/04/06 1:15:39 p.?m. GMT-5,>38,Femenino,Si,Normal,No,No,,No,Si,90-100,Flexibilidad de horarios,Si,No,4 a 6 ,No,No,,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si
2020/04/06 1:19:13 p.?m. GMT-5,23-27,Masculino,Si,Pocas,Si,Si,No,No,No,80-89,Mejor Planificaci?n;Flexibilidad de horarios,Si,No,2 a 4,No,Si,Intermedias,Si,Si,Solo,3,Si,Si,Si,Si,Test vocacional,Mas o meNos,Si,No,Si,Si,61% - 80%,41% - 60%,Si,Si,Nunca,Mucho,Si,Moodle;Wordpress,Intermedio,Si
2020/04/06 1:25:42 p.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,Si,Si,2 a 4,No,Si,Pocas,Si,Si,Grupo,1,En ocasiones,Si,Si,Si,Te gusta la carrera,Mas o meNos,Si,Si,No,No,21% - 40%,20% - 40%,Si,Si,En ocasiones,Poco,Si,Otras,Poco,Si
2020/04/06 1:27:17 p.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,No,70-79,Flexibilidad de horarios,Si,Si,2 a 4,No,Si,Intermedias,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,41% - 60%,41% - 60%,Si,Si,En ocasiones,Intermedio,No,Otras,Poco,Si
2020/04/06 1:27:53 p.?m. GMT-5,28-32,Masculino,Si,Muchas,Si,Si,No,Si,No,80-89,Flexibilidad de horarios,Si,Si,2 a 4,Si,No,,No,Si,Solo,3,En ocasiones,No,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,61% - 80%,61% - 80%,Si,Si,En ocasiones,Poco,No,,,Si
2020/04/06 1:32:23 p.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,Si,No,70-79,Mejor Planificaci?n,Si,Si,2 a 4,Si,No,,Si,Si,Grupo,1,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,0% - 20%,0% - 20%,No,Si,Nunca,Intermedio,Si,Moodle;Otras,Intermedio,Si
2020/04/06 1:44:13 p.?m. GMT-5,18-22,Masculino,No,Normal,Si,Si,No,No,No,70-79,Flexibilidad de horarios,No,Si,2 a 4,No,Si,Muchas,Si,Si,Grupo,2,En ocasiones,No,Si,Si,Te gusta la carrera,Si,Si,Si,Si,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Mucho,Si,Otras,Poco,Si
2020/04/06 2:14:23 p.?m. GMT-5,18-22,Masculino,No,Pocas,Si,Si,Si,No,No,70-79,Mejor Planificaci?n,Si,Si,2 a 4,Si,Si,Pocas,No,No,Solo,3,Si,No,No,Si,Test vocacional,Mas o meNos,No,Si,No,Si,61% - 80%,41% - 60%,Si,Si,Nunca,Mucho,Si,Otras,Intermedio,Si
2020/04/06 3:20:30 p.?m. GMT-5,23-27,Masculino,No,Normal,Si,No,,No,No,70-79,Otros,Si,Si,4 a 6 ,Si,No,,Si,Si,Solo,1,Si,Si,Si,Si,Influencia de terceros,No,Si,Si,No,Si,0% - 20%,0% - 20%,Si,Si,En ocasiones,Poco,Si,Otras,Poco,Si
2020/04/06 6:34:37 p.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,Si,No,80-89,Mejor Planificaci?n,Si,Si,4 a 6 ,Si,Si,Pocas,Si,Si,Solo,4,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,21% - 40%,20% - 40%,Si,Si,En ocasiones,Poco,Si,Otras,Mucho,Si
